<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2024.01.08	00:00:00	1.09326	1.09449	1.09326	1.09432	427	0	5
2024.01.08	01:00:00	1.09434	1.09459	1.09350	1.09418	794	0	0
2024.01.08	02:00:00	1.09418	1.09494	1.09404	1.09488	859	0	0
2024.01.08	03:00:00	1.09485	1.09532	1.09471	1.09482	1391	0	0
2024.01.08	04:00:00	1.09476	1.09480	1.09361	1.09374	1101	0	0
2024.01.08	05:00:00	1.09373	1.09394	1.09316	1.09331	1169	0	0
2024.01.08	06:00:00	1.09330	1.09373	1.09307	1.09342	962	0	0
2024.01.08	07:00:00	1.09342	1.09377	1.09322	1.09376	1186	0	0
2024.01.08	08:00:00	1.09376	1.09469	1.09365	1.09460	1407	0	0
2024.01.08	09:00:00	1.09462	1.09524	1.09395	1.09453	2650	0	0
2024.01.08	10:00:00	1.09454	1.09454	1.09296	1.09337	3879	0	0
2024.01.08	11:00:00	1.09338	1.09424	1.09227	1.09372	3195	0	0
2024.01.08	12:00:00	1.09382	1.09436	1.09344	1.09425	2808	0	0
2024.01.08	13:00:00	1.09426	1.09502	1.09369	1.09381	2564	0	0
2024.01.08	14:00:00	1.09380	1.09483	1.09375	1.09448	2670	0	0
2024.01.08	15:00:00	1.09447	1.09563	1.09428	1.09509	3704	0	0
2024.01.08	16:00:00	1.09510	1.09628	1.09495	1.09603	4658	0	0
2024.01.08	17:00:00	1.09603	1.09747	1.09554	1.09698	3883	0	0
2024.01.08	18:00:00	1.09700	1.09789	1.09684	1.09755	3439	0	0
2024.01.08	19:00:00	1.09754	1.09787	1.09625	1.09647	2013	0	0
2024.01.08	20:00:00	1.09646	1.09658	1.09490	1.09555	1619	0	0
2024.01.08	21:00:00	1.09555	1.09628	1.09532	1.09611	1601	0	0
2024.01.08	22:00:00	1.09612	1.09612	1.09495	1.09548	1868	0	0
2024.01.08	23:00:00	1.09548	1.09563	1.09498	1.09504	1044	0	0
2024.01.09	00:00:00	1.09500	1.09542	1.09450	1.09493	851	0	4
2024.01.09	01:00:00	1.09488	1.09528	1.09488	1.09499	607	0	0
2024.01.09	02:00:00	1.09499	1.09595	1.09494	1.09554	1443	0	0
2024.01.09	03:00:00	1.09551	1.09620	1.09516	1.09616	1818	0	0
2024.01.09	04:00:00	1.09619	1.09650	1.09608	1.09630	1298	0	0
2024.01.09	05:00:00	1.09630	1.09664	1.09608	1.09630	1191	0	0
2024.01.09	06:00:00	1.09630	1.09632	1.09536	1.09562	943	0	0
2024.01.09	07:00:00	1.09564	1.09564	1.09482	1.09498	991	0	0
2024.01.09	08:00:00	1.09498	1.09551	1.09482	1.09504	1542	0	0
2024.01.09	09:00:00	1.09504	1.09630	1.09462	1.09566	2365	0	0
2024.01.09	10:00:00	1.09568	1.09568	1.09390	1.09499	3297	0	0
2024.01.09	11:00:00	1.09502	1.09506	1.09380	1.09442	2836	0	0
2024.01.09	12:00:00	1.09446	1.09482	1.09327	1.09357	2634	0	0
2024.01.09	13:00:00	1.09357	1.09360	1.09290	1.09314	2300	0	0
2024.01.09	14:00:00	1.09314	1.09416	1.09290	1.09406	2563	0	0
2024.01.09	15:00:00	1.09406	1.09468	1.09331	1.09460	4088	0	0
2024.01.09	16:00:00	1.09459	1.09513	1.09382	1.09456	4535	0	0
2024.01.09	17:00:00	1.09466	1.09468	1.09178	1.09180	4309	0	0
2024.01.09	18:00:00	1.09178	1.09352	1.09103	1.09344	3154	0	0
2024.01.09	19:00:00	1.09345	1.09393	1.09302	1.09342	2829	0	0
2024.01.09	20:00:00	1.09342	1.09399	1.09223	1.09242	2836	0	0
2024.01.09	21:00:00	1.09242	1.09286	1.09202	1.09254	2271	0	0
2024.01.09	22:00:00	1.09254	1.09298	1.09250	1.09281	2336	0	0
2024.01.09	23:00:00	1.09279	1.09315	1.09277	1.09312	946	0	0
2024.01.10	00:00:00	1.09310	1.09310	1.09256	1.09286	389	0	3
2024.01.10	01:00:00	1.09291	1.09330	1.09285	1.09320	394	0	0
2024.01.10	02:00:00	1.09320	1.09366	1.09292	1.09308	1205	0	0
2024.01.10	03:00:00	1.09308	1.09335	1.09262	1.09323	1636	0	0
2024.01.10	04:00:00	1.09324	1.09360	1.09318	1.09338	1263	0	0
2024.01.10	05:00:00	1.09338	1.09361	1.09280	1.09294	1264	0	0
2024.01.10	06:00:00	1.09290	1.09330	1.09290	1.09320	801	0	0
2024.01.10	07:00:00	1.09321	1.09342	1.09305	1.09324	835	0	0
2024.01.10	08:00:00	1.09321	1.09336	1.09236	1.09248	1474	0	0
2024.01.10	09:00:00	1.09247	1.09455	1.09247	1.09263	3079	0	0
2024.01.10	10:00:00	1.09264	1.09450	1.09230	1.09434	3532	0	0
2024.01.10	11:00:00	1.09434	1.09520	1.09417	1.09472	2612	0	0
2024.01.10	12:00:00	1.09470	1.09550	1.09451	1.09493	2318	0	0
2024.01.10	13:00:00	1.09493	1.09555	1.09418	1.09461	2069	0	0
2024.01.10	14:00:00	1.09460	1.09504	1.09434	1.09439	1956	0	0
2024.01.10	15:00:00	1.09439	1.09520	1.09406	1.09407	2908	0	0
2024.01.10	16:00:00	1.09406	1.09417	1.09321	1.09400	2953	0	0
2024.01.10	17:00:00	1.09400	1.09691	1.09358	1.09674	3472	0	0
2024.01.10	18:00:00	1.09676	1.09691	1.09526	1.09590	2544	0	0
2024.01.10	19:00:00	1.09596	1.09682	1.09584	1.09672	1876	0	0
